,企业代号,企业名称,进项价税合计,是否违约,信誉评级,合作单位总数,有效合作单位数,作废价税合计,作废合作单位总数,进项作废/有效比%,有效/作废合作单位数比%,净利润,进项月份时长,进项平均每月金额,进项负数发票次数,进项负数发票次数占比,销项金额,销项合作单位总数,销项有效合作单位数,销项作废价税合计,销项作废合作单位总数,销项作废/有效比%,销项有效/作废合作单位数比%,销项月份时长,销项平均每月金额,销项负数发票次数,销项负数发票次数占比
10,E134,***工程咨询有限公司,4295229.3900000015,否,A,581,580,149700.0,17,3.4852620525582685,2.9259896729776247,118520240.59000131,36,119311.92750000002,7,0.4206730769230769,122815469.98000132,1672,1666,149700.0,17,0.12189018209544482,1.0167464114832536,36,3411540.832777815,58,2.0458553791887124
11,E135,***建设工程有限公司,26380957.440000005,否,A,364,364,1099170.93,28,4.166531607125778,7.6923076923076925,109156601.07999986,31,850998.6270967744,5,0.17562346329469616,135537558.51999986,73,72,1099170.93,28,0.8109714694601105,38.35616438356164,36,3764932.1811111066,14,3.8147138964577656
12,E136,***机械有限责任公司,132110009.24999969,否,C,16,16,226460.58,1,0.17141818495482436,6.25,-15457823.889999628,29,4555517.560344816,1,0.07776049766718507,116652185.36000004,4,4,226460.58,1,0.1941331654448826,25.0,29,4022489.1503448286,4,0.3115264797507788
13,E137,***建设工程有限公司,108301441.78,否,B,675,675,13310996.429999998,70,12.290691805414298,10.370370370370368,34962931.13999993,36,3008373.382777778,37,1.1779687997453039,143264372.91999993,25,25,13310996.429999998,70,9.291211875427658,280.0,36,3979565.914444442,6,2.5974025974025974
14,E138,个体经营E138 ,23875015.51,否,A,54,54,372625.0,7,1.5607319703894091,12.962962962962964,83956725.51999989,35,682143.3002857142,25,4.8828125,107831741.0299999,118,118,372625.0,7,0.3455615168972667,5.932203389830509,35,3080906.886571425,12,0.8339124391938846
15,E139,个体经营E139 ,1294008.9500000002,否,C,77,77,483633.76,5,37.374838868000104,6.493506493506493,186419518.4400017,35,36971.684285714284,2,0.43763676148796504,187713527.39000168,167,166,483633.76,5,0.2576445963828604,2.9940119760479043,35,5363243.639714334,32,0.2621017282332705
16,E140,***建筑工程有限公司,7398424.690000006,否,B,561,559,601324.65,34,8.127739014668533,6.0606060606060606,175030608.3600002,35,211383.56257142875,17,0.8403361344537815,182429033.0500002,20,19,601324.65,34,0.32962113537881266,170.0,36,5067473.140277783,22,3.0303030303030303
17,E141,***食品有限公司,41048444.15999997,否,A,208,208,1901662.21,27,4.6327266451016715,12.980769230769232,118326524.04000014,35,1172812.6902857134,3,0.2210759027266028,159374968.2000001,1183,1182,1901662.21,27,1.19320005611772,2.2823330515638207,34,4687499.064705886,144,3.2301480484522207
18,E142,***运业有限公司,55999811.83000004,否,A,96,96,2091648.74,11,3.7350995863158762,11.458333333333332,41267867.80999938,36,1555550.3286111122,11,1.5625,97267679.63999942,66,65,2091648.74,11,2.1504046850315226,16.666666666666664,36,2701879.989999984,10,0.7320644216691069
19,E143,***电子科技有限公司,36308552.32999995,否,A,598,598,1958798.4,77,5.394867804689481,12.876254180602007,54131312.1099993,37,981312.2251351337,43,1.2014529198100028,90439864.43999924,76,76,1958798.4,77,2.165857293273068,101.31578947368419,37,2444320.66054052,21,1.9108280254777068
20,E144,***劳务有限公司,9341618.739999998,否,C,671,668,230918.4,33,2.4719313261119034,4.918032786885246,94826686.99999943,29,322124.7841379309,11,0.4519309778142975,104168305.73999944,28,27,230918.4,33,0.22167817587084934,117.85714285714286,29,3592010.5427586013,58,4.6586345381526115
21,E145,***工贸有限公司,129021774.37999988,否,A,377,377,2734837.3100000005,40,2.119671135466834,10.610079575596817,-11452054.319999484,36,3583938.1772222193,18,0.6172839506172839,117569720.06000042,394,394,2734837.3100000005,40,2.3261408707993065,10.152284263959393,36,3265825.5572222336,80,2.0811654526534857
22,E146,***基础建设工程有限公司,137328170.11000004,否,B,383,383,12398434.859999998,35,9.028325980073014,9.138381201044384,-6217561.6800002465,36,3814671.3919444457,8,0.2523659305993691,131110608.4299998,63,63,12398434.859999998,35,9.4564696239813,55.555555555555564,36,3641961.345277772,32,2.2598870056497176
23,E147,***装饰工程有限责任公司,156403712.0800003,否,A,733,732,9810063.189999994,110,6.2722700500753845,15.006821282401091,31266070.99000123,36,4344547.557777787,62,1.106550062466536,187669783.07000157,145,144,9810063.189999994,110,5.227300330144679,75.86206896551724,36,5213049.529722265,24,1.0371650821089022
24,E148,***商贸有限公司,30231101.33000002,否,A,134,134,2103759.3600000003,14,6.9589239804251575,10.44776119402985,50337071.83999991,36,839752.8147222226,2,0.3913894324853229,80568173.16999993,186,186,2103759.3600000003,14,2.6111543519313014,7.526881720430107,19,4240430.166842101,1,0.3703703703703704
25,E149,***建筑劳务有限公司,637449.9400000002,否,C,109,109,8948.09,6,1.4037321895426011,5.504587155963304,100603156.32000068,34,18748.527647058832,0,0.0,101240606.26000068,10,10,8948.09,6,0.008838439763013663,60.0,32,3163768.945625021,32,2.7898866608544033
26,E150,***建设工程有限公司,88299286.07000002,否,A,463,462,2885077.5,59,3.2673848548592224,12.742980561555074,25959089.069999903,36,2452757.9463888896,16,0.4895960832313341,114258375.13999993,126,125,2885077.5,59,2.525046847957479,46.82539682539682,36,3173843.753888887,1,0.24390243902439024
27,E151,***路桥工程有限公司,11855142.480000002,否,B,172,172,1508406.3,9,12.723645477435035,5.232558139534883,90566010.47000004,34,348680.6611764707,1,0.12804097311139565,102421152.95000003,5,5,1508406.3,9,1.4727487990067578,180.0,26,3939275.11346154,0,0.0
28,E152,***运贸有限责任公司,6604612.960000001,否,B,148,148,251012.15,13,3.800558057227928,8.783783783783784,113007115.02999967,36,183461.47111111114,23,2.581369248035915,119611727.98999968,15,15,251012.15,13,0.2098558011142405,86.66666666666669,36,3322547.999722213,9,0.6048387096774194
29,E153,个体经营E153 ,93077.0,否,C,33,33,0.0,0,0.0,0.0,240930690.7600002,27,3447.2962962962956,0,0.0,241023767.7600002,6,6,0.0,0,0.0,0.0,35,6886393.3645714335,1,0.35714285714285715
30,E154,***汽车销售服务有限公司,141657840.55000004,否,A,300,300,2047630.67,26,1.445476411365498,8.666666666666668,-67199941.22000016,29,4884753.1224137945,53,1.9947308995107265,74457899.32999988,303,299,2047630.67,26,2.75005162437478,8.58085808580858,29,2567513.769999996,23,1.2665198237885462
31,E155,个体经营E155 ,85664767.67999999,否,B,50,50,3058463.68,8,3.5702702088971567,16.0,-7068980.699999942,24,3569365.32,7,1.7587939698492463,78595786.98000005,56,56,3058463.68,8,3.8913837465337346,14.285714285714285,24,3274824.457500002,9,0.8612440191387559
32,E156,个体经营E156 ,2237785.600000001,否,C,151,151,236781.02,12,10.581041365178145,7.947019867549669,151629620.61000034,32,69930.80000000003,11,1.858108108108108,153867406.21000034,32,31,236781.02,12,0.15388640507583395,37.5,35,4396211.60600001,28,7.291666666666668
33,E157,***环境设备工程有限公司,53073477.28999998,否,A,307,305,5818341.62,48,10.962804619354165,15.63517915309446,14043048.469999418,36,1474263.258055555,12,0.8152173913043478,67116525.7599994,87,86,5818341.62,48,8.669014902239859,55.17241379310346,36,1864347.937777761,75,8.169934640522875
34,E158,***装饰工程有限公司,64966054.26000001,否,B,303,300,6398258.800000002,37,9.84861844062992,12.211221122112212,14154965.130000874,30,2165535.142,13,1.1828935395814375,79121019.39000088,9,9,6398258.800000002,37,8.086673869129394,411.11111111111114,28,2825750.692500032,0,0.0
35,E159,个体经营E159 ,69981490.31000005,否,A,1037,1037,5581477.23,93,7.9756478538474775,8.968177434908391,33190281.27999993,30,2332716.343666668,13,0.2906976744186047,103171771.58999996,80,80,5581477.23,93,5.409887941229257,116.25,35,2947764.902571428,2,0.8583690987124464
36,E160,***钢结构工程有限公司,169895636.9900001,否,A,424,424,6807636.009999999,45,4.006951638434772,10.61320754716981,52937831.58999807,36,4719323.249722225,13,0.30624263839811544,222833468.57999817,65,65,6807636.009999999,45,3.0550330044142484,69.23076923076923,36,6189818.571666616,114,4.051172707889126
37,E161,***建筑劳务有限责任公司,963190.5599999995,否,B,140,140,130116.0,2,13.50885332597114,1.4285714285714286,152936908.31000018,35,27519.73028571428,0,0.0,153900098.87000018,21,21,130116.0,2,0.08454575465211969,9.523809523809524,36,4275002.746388894,3,1.2605042016806722
38,E162,***网络信息安全有限公司,143322878.65000004,否,A,1277,1273,22598252.69,192,15.767372873653894,15.035238841033676,-6361719.46999985,37,3873591.3148648664,239,2.433808553971487,136961159.1800002,100,100,22598252.69,192,16.499752795097486,192.0,36,3804476.6438888935,30,6.369426751592357
39,E163,***物流有限公司,83366658.56999996,否,A,267,267,4660620.84,26,5.590509347434916,9.737827715355806,47326987.950000204,37,2253152.934324323,10,0.3881987577639752,130693646.52000016,23,22,4660620.84,26,3.5660653475506026,113.04347826086956,36,3630379.070000005,9,0.9698275862068966
40,E164,个体经营E164 ,75769207.93999997,否,A,503,502,4768531.589999999,44,6.293495365262491,8.747514910536777,44060428.79000051,35,2164834.5125714275,37,0.902659185167114,119829636.73000048,85,84,4768531.589999999,44,3.9794258917302985,51.764705882352956,35,3423703.9065714427,21,1.445285615966965
41,E165,***文化传媒股份有限公司,92982086.56,否,A,918,917,7654882.190000001,98,8.232641870281558,10.675381263616558,21237687.670000687,36,2582835.737777778,48,1.1574632264287437,114219774.23000067,246,243,7654882.190000001,98,6.701888741773916,39.83739837398374,36,3172771.5063889083,114,4.859335038363171
42,E166,***建筑工程有限公司,3190440.610000001,否,A,73,73,138003.66999999998,3,4.325536402948432,4.10958904109589,74428233.69000144,36,88623.35027777779,0,0.0,77618674.30000144,14,14,138003.66999999998,3,0.1777969944018967,21.428571428571427,36,2156074.2861111513,258,18.46814602720115
43,E167,***体育文化股份有限公司,158300709.5799999,否,A,1095,1094,6127643.310000001,126,3.8708880877778338,11.506849315068493,-38672884.85999942,36,4397241.932777775,97,1.3718003111299677,119627824.72000048,2466,2455,6127643.310000001,126,5.1222559001990495,5.109489051094892,36,3322995.1311111245,91,1.960361912968548
44,E168,***建材有限公司,1481109.2600000002,否,C,8,8,0.0,0,0.0,0.0,88728793.64999992,24,61712.88583333334,0,0.0,90209902.90999992,12,12,0.0,0,0.0,0.0,32,2819059.4659374976,0,0.0
45,E169,***建筑设计有限公司,79325640.34999995,否,A,1016,1015,7174747.159999997,104,9.044676006829112,10.236220472440944,35505802.800000705,36,2203490.0097222207,28,0.4818447771467906,114831443.15000065,171,170,7174747.159999997,104,6.248068441174127,60.818713450292385,36,3189762.30972224,30,2.127659574468085
46,E170,***建筑劳务有限公司,33888320.120000005,否,B,230,230,5533818.78,38,16.329575382918094,16.52173913043478,37874695.51000007,36,941342.2255555557,55,4.4105854049719335,71763015.63000007,11,11,5533818.78,38,7.7112405762483345,345.45454545454544,36,1993417.1008333354,15,1.9083969465648856
47,E171,***质量检验测试站,46739413.11999999,否,A,325,325,1376940.07,45,2.9459934947510105,13.846153846153848,57669854.95000057,37,1263227.3816216213,8,0.4388370817334065,104409268.07000056,1439,1436,1376940.07,45,1.3187910378577108,3.127171646977067,36,2900257.4463889045,113,1.6112933124197921
48,E172,***物流有限公司,46505729.76999999,否,A,53,53,479109.56,6,1.0302161956591098,11.320754716981131,28397536.82000043,36,1291825.826944444,5,1.0775862068965518,74903266.59000042,94,94,479109.56,6,0.6396377378606357,6.382978723404255,36,2080646.2941666783,0,0.0
49,E173,***贸易有限责任公司,122539845.93999991,否,A,204,204,3883716.16,20,3.1693496349763755,9.803921568627453,-15703521.179999365,36,3403884.6094444413,6,0.45662100456620996,106836324.76000053,342,339,3883716.16,20,3.635201949079085,5.847953216374267,36,2967675.6877777926,31,1.3080168776371308
50,E174,***工程技术有限公司,86874940.40999995,否,B,433,433,6901641.94,28,7.9443414952899,6.466512702078522,4275096.440000147,33,2632573.9518181803,6,0.258732212160414,91150036.8500001,83,83,6901641.94,28,7.5717379592041185,33.734939759036145,32,2848438.651562503,5,0.4355400696864111
51,E175,***食品集团有限公司,89119087.07999995,否,A,599,596,9388991.239999998,53,10.535331484681548,8.848080133555927,-15117263.090000017,37,2408623.975135134,67,1.7048346055979644,74001823.98999994,1788,1773,9388991.239999998,53,12.687513271657679,2.9642058165548097,35,2114337.8282857123,66,1.7501988862370723
52,E176,***科技有限公司,4782474.640000005,否,A,868,868,173132.9,47,3.620153017685417,5.4147465437788025,78710051.15999997,37,129256.07135135151,17,0.5374644325007903,83492525.79999997,165,159,173132.9,47,0.20736335179837145,28.484848484848484,37,2256554.7513513505,67,3.4625322997416017
53,E177,***电力工程有限公司,79409705.98000003,否,A,644,644,2805086.77,53,3.5324230651432997,8.229813664596273,18307654.970002323,36,2205825.166111112,5,0.1633453119895459,97717360.95000236,154,153,2805086.77,53,2.8706124917098794,34.41558441558442,33,2961132.150000072,18,2.155688622754491
54,E178,***贸易有限公司,91884740.43999998,否,A,29,29,2439750.6,5,2.655229353989565,17.24137931034483,-13343376.060000062,36,2552353.90111111,5,1.5015015015015014,78541364.37999992,181,178,2439750.6,5,3.106325716721656,2.7624309392265194,36,2181704.5661111088,22,2.158979391560353
55,E179,***园林有限公司,37778264.89000002,否,B,350,349,6713228.739999998,41,17.770082240534567,11.714285714285715,22568996.67999936,36,1049396.2469444452,11,0.5499999999999999,60347261.56999938,41,41,6713228.739999998,41,11.12433035956907,100.0,36,1676312.8213888716,18,2.5069637883008355
56,E180,***电气有限公司,71862813.71999994,否,A,608,606,909553.82,67,1.265680778300592,11.019736842105262,2224917.749999985,37,1942238.208648647,30,0.8462623413258108,74087731.46999992,475,475,909553.82,67,1.2276713052933768,14.105263157894738,37,2002371.1208108088,7,0.3460207612456748
57,E181,***食品有限公司,97838584.02999994,否,A,373,373,3275561.8399999994,43,3.3479244129244803,11.528150134048257,-20861016.06,36,2717738.445277776,32,1.0759919300605243,76977567.96999994,180,178,3275561.8399999994,43,4.255216066681357,23.88888888888889,36,2138265.7769444427,10,0.6779661016949152
58,E182,***新材料科技有限公司,84505227.05,否,A,152,152,1868918.54,16,2.211601110655793,10.526315789473683,-7067245.579999909,36,2347367.418055556,0,0.0,77437981.47000009,42,42,1868918.54,16,2.4134391218914053,38.095238095238095,36,2151055.040833336,0,0.0
59,E183,***建设工程有限公司,27455031.159999996,否,B,416,416,1478825.62,40,5.386355642365989,9.615384615384617,37630676.97999941,33,831970.6412121209,13,0.9232954545454546,65085708.139999405,9,9,1478825.62,40,2.27212035062912,444.4444444444445,36,1807936.3372222052,2,0.2157497303128371
60,E184,***建筑装饰工程有限公司,41542696.2,否,C,461,460,2402174.75,34,5.782423794630836,7.375271149674621,11462962.929999905,31,1340086.9741935486,8,0.4067107269954245,53005659.1299999,39,39,2402174.75,34,4.531921288080782,87.1794871794872,34,1558989.9744117616,21,3.2863849765258215
61,E185,***生态魔芋有限公司,788684.14,否,A,20,19,5720.0,1,0.7252586567798865,5.0,95540337.5700002,32,24646.379375,2,2.985074626865672,96329021.7100002,312,312,5720.0,1,0.005937982031230564,0.3205128205128205,36,2675806.1586111165,8,0.1470047776552738
62,E186,***建筑劳务有限公司,3141879.25,否,B,220,220,435245.2,27,13.853021245167206,12.272727272727273,80413341.87000002,32,98183.7265625,11,1.1689691817215728,83555221.12000002,5,5,435245.2,27,0.5209072445334221,540.0,35,2387292.032000001,0,0.0
63,E187,个体经营E187 ,78798146.34,否,B,3694,3694,5545742.35,186,7.037909655984935,5.035192203573362,-75394737.27000001,24,3283256.0975,39,1.0557661072008662,3403409.0700000008,12,12,5545742.35,186,162.94668774564906,1550.0,21,162067.0985714286,0,0.0
64,E188,***硬质合金有限公司,90271570.80000016,否,A,369,369,4280654.66,48,4.741974269489496,13.008130081300814,-9558427.990000203,36,2507543.633333337,3,0.12077294685990338,80713142.80999994,241,241,4280654.66,48,5.303541047926643,19.91701244813278,36,2242031.744722221,7,0.3376748673420164
65,E189,***石油工程技术服务有限公司,32635434.69,否,B,825,825,6038853.82,38,18.503978504843992,4.6060606060606055,18074255.57999981,36,906539.8525,11,0.3296373988612526,50709690.26999981,24,24,6038853.82,38,11.90867817935111,158.33333333333331,35,1448848.2934285658,13,2.145214521452145
66,E190,***劳务有限公司,1680924.07,否,B,53,52,51000.0,3,3.034045434306857,5.6603773584905674,118253469.72000042,36,46692.335277777776,1,0.819672131147541,119934393.79000041,22,21,51000.0,3,0.04252324824295077,13.636363636363635,36,3331510.938611122,14,4.069767441860465
67,E191,***商贸有限责任公司,304103652.18999964,否,B,141,140,1311491.16,21,0.4312645213417559,14.893617021276595,-47965215.93999946,36,8447323.671944434,4,0.33984706881903143,256138436.25000015,97,97,1311491.16,21,0.5120243487080316,21.64948453608248,27,9486608.750000007,1,0.03661662394727206
68,E192,***建设工程有限公司,18895927.40000001,否,B,28,27,2186006.8,4,11.56866637834351,14.285714285714285,23222672.77000001,29,651583.7034482762,3,3.0612244897959178,42118600.17000002,7,7,2186006.8,4,5.1901221578513805,57.14285714285714,36,1169961.1158333337,2,2.9411764705882346
69,E193,个体经营E193 ,19545794.710000016,否,A,283,283,1327240.2,48,6.790413077043921,16.96113074204947,102771035.0200052,35,558451.2774285718,6,0.3898635477582846,122316829.7300052,2484,2478,1327240.2,48,1.08508387842431,1.932367149758454,35,3494766.5637144344,367,1.2202014828606575
70,E194,***文化传播有限公司,11882193.02000002,否,A,914,913,796813.81,62,6.705949050472492,6.783369803063457,77090571.58999988,32,371318.5318750006,11,0.23123817532058025,88972764.60999991,3229,3210,796813.81,62,0.8955704742824679,1.9200991018891296,32,2780398.8940624967,391,3.537501130914684
71,E195,***医药有限公司,86953398.84999987,否,A,511,510,4652801.09,39,5.3509134220576895,7.632093933463796,22950109.300000384,36,2415372.1902777744,46,2.0291133656815177,109903508.15000026,393,391,4652801.09,39,4.2335328219456745,9.923664122137405,36,3052875.2263888963,81,1.7509727626459144
72,E196,***地质制图印刷厂,48827578.51999994,否,A,154,154,928503.71,28,1.9015968805819068,18.181818181818183,23698624.60000015,37,1319664.2843243228,9,0.6736526946107785,72526203.1200001,689,682,928503.71,28,1.280232067937874,4.063860667634253,37,1960167.6518918944,86,3.121597096188748
73,E197,***医疗设备有限公司,115851962.72999944,否,C,805,805,5287884.53,64,4.564346089089367,7.95031055900621,65860117.56000501,33,3510665.5372727113,4,0.06300204756654591,181712080.2900045,1202,1201,5287884.53,64,2.910034666688516,5.324459234608986,33,5506426.675454681,52,1.2839506172839503
74,E198,***商贸有限公司,66423102.82000003,否,A,210,210,2393908.6,19,3.6040300714154423,9.047619047619047,-9016480.100000067,36,1845086.1894444453,0,0.0,57406622.71999996,42,42,2393908.6,19,4.170091335413089,45.23809523809525,36,1594628.4088888878,55,7.554945054945056
75,E199,***建筑劳务有限公司,169812.22999999998,否,C,25,25,37506.61,1,22.087107624698177,4.0,59405729.86000057,20,8490.611499999999,0,0.0,59575542.09000056,3,3,37506.61,1,0.06295638895461311,33.33333333333333,24,2482314.253750024,90,11.138613861386142
76,E200,个体经营E200 ,54647680.98999994,否,B,133,133,2069873.87,18,3.787670094141359,13.533834586466165,-7484387.540000051,35,1561362.3139999982,6,0.4995836802664446,47163293.44999989,50,50,2069873.87,18,4.388739035356753,36.0,34,1387155.689705879,12,2.127659574468085
77,E201,***物流有限责任公司,43770069.97000001,否,A,105,105,2098135.9,9,4.793540200959381,8.571428571428571,4277882.509999962,36,1215835.2769444443,1,0.21598272138228944,48047952.47999997,170,168,2098135.9,9,4.366754027392431,5.294117647058823,36,1334665.3466666655,16,1.4760147601476017
78,E202,个体经营E202 ,11370529.87,否,B,107,107,1675724.9600000004,20,14.737439496300276,18.69158878504673,87899107.73000133,33,344561.51121212123,2,0.5494505494505495,99269637.60000134,5,5,1675724.9600000004,20,1.688053870763781,400.0,34,2919695.223529451,0,0.0
79,E203,***建设工程有限公司,25086194.94000001,否,B,338,338,4007860.54,35,15.97635890809991,10.355029585798817,22560312.23999968,35,716748.4268571432,3,0.2626970227670753,47646507.1799997,27,27,4007860.54,35,8.411656545691889,129.62962962962962,36,1323514.0883333248,2,0.3460207612456748
80,E204,***科技发展有限公司,65758081.65999986,否,A,1205,1204,8251347.27,96,12.548035255443336,7.966804979253111,26333686.62000043,36,1826613.3794444404,46,0.914694770332074,92091768.28000028,373,370,8251347.27,96,8.95991837719111,25.7372654155496,36,2558104.6744444524,33,2.4645257654966395
81,E205,个体经营E205 ,27480110.5,否,B,15,15,5147082.0,3,18.73020852663602,20.0,46773106.20999999,27,1017781.8703703705,1,0.7299270072992701,74253216.71,71,71,5147082.0,3,6.93179666559391,4.225352112676056,35,2121520.477428572,9,0.9307135470527405
82,E206,***建设工程有限公司,77314494.32999992,否,A,889,889,6866161.55,74,8.880820613911409,8.323959505061866,18693625.100001186,36,2147624.842499998,6,0.16868147315153215,96008119.43000112,307,307,6866161.55,74,7.1516467469254765,24.104234527687296,36,2666892.20638892,1,0.1095290251916758
83,E207,个体经营E207 ,76808936.76000014,否,B,267,267,2090711.42,28,2.7219637560310317,10.486891385767793,44127406.04000184,30,2560297.8920000046,13,0.3941782898726501,120936342.80000198,17,17,2090711.42,28,1.7287701708141665,164.70588235294116,34,3556951.258823588,10,0.7178750897343862
84,E208,个体经营E208 ,87822606.11999999,否,A,44,44,743570.4,8,0.8466731207953364,18.181818181818183,-12268824.090000138,35,2509217.3177142856,1,0.10384215991692627,75553782.02999985,80,79,743570.4,8,0.984160395444868,10.0,35,2158679.486571424,20,2.2296544035674466
85,E209,***工程检测有限公司,46289901.63999997,否,A,1599,1599,3704715.4300000006,140,8.003290779945589,8.755472170106318,19411083.52999962,36,1285830.6011111105,18,0.22145669291338585,65700985.16999959,488,485,3704715.4300000006,140,5.638751717975227,28.688524590163933,36,1825027.3658333218,61,4.987735077677842
86,E210,***建筑工程有限公司,6181181.389999998,否,B,153,153,229748.9,10,3.7169092039863294,6.535947712418301,47501811.33000034,30,206039.37966666656,3,0.5597014925373134,53682992.72000034,3,3,229748.9,10,0.4279733456708048,333.33333333333337,36,1491194.2422222316,0,0.0
87,E211,个体经营E211 ,22578145.790000007,否,A,105,105,207833.1,9,0.9205056160637006,8.571428571428571,26492798.19999989,32,705567.0559375002,3,0.7444168734491315,49070943.98999989,82,82,207833.1,9,0.4235359728199932,10.975609756097562,35,1402026.971142854,15,1.020408163265306
88,E212,***建电管理咨询有限公司,157443.53999999998,否,A,49,49,16000.0,4,10.162373127535117,8.16326530612245,76732634.22999997,33,4771.016363636363,0,0.0,76890077.76999998,121,121,16000.0,4,0.02080892680049113,3.3057851239669422,37,2078110.2099999997,20,1.3360053440213762
89,E213,***科技有限公司,51200703.77000002,否,A,592,591,3016199.400000001,52,5.890933479252835,8.783783783783784,6496511.829999767,36,1422241.771388889,18,0.8559201141226819,57697215.59999978,248,247,3016199.400000001,52,5.22763424306391,20.967741935483872,36,1602700.4333333273,23,2.003484320557491
90,E214,***建筑工程有限公司,38009318.07999997,否,A,154,154,3039445.54,26,7.996580032303497,16.883116883116884,26243065.36000015,36,1055814.3911111106,2,0.2890173410404624,64252383.44000012,218,217,3039445.54,26,4.7304790534942285,11.926605504587155,36,1784788.4288888918,14,1.9635343618513323
91,E215,***建筑工程有限公司,238954.21,否,C,69,69,2788.0,4,1.1667507343771009,5.797101449275362,67263799.99000095,36,6637.616944444445,0,0.0,67502754.20000094,8,8,2788.0,4,0.004130201845897365,50.0,27,2500102.0074074417,0,0.0
92,E216,***建设工程有限公司,36069341.09999998,否,B,570,570,3746996.0799999987,55,10.38831308177127,9.649122807017543,22256600.14999961,37,974847.0567567563,16,0.4790419161676647,58325941.24999959,30,29,3746996.0799999987,55,6.424235939784384,183.3333333333333,33,1767452.7651515028,5,0.7299270072992701
93,E217,个体经营E217 ,61169230.95,否,B,202,202,4899378.0,12,8.009546505504987,5.9405940594059405,-58734994.34,24,2548717.9562500003,0,0.0,2434236.61,15,15,4899378.0,12,201.26958816875248,80.0,16,152139.78812499993,0,0.0
94,E218,***建设工程有限公司,43546796.87999998,否,B,269,269,3702489.76,40,8.502323994581715,14.869888475836431,-4218242.650000028,36,1209633.246666666,4,0.3898635477582846,39328554.22999995,43,43,3702489.76,40,9.41425341584443,93.02325581395347,34,1156722.1832352928,0,0.0
95,E219,***品牌营销策划有限公司,40182970.92999997,否,B,757,755,3208540.67,84,7.984826894928652,11.096433289299867,-4540346.979999982,36,1116193.6369444437,41,0.9537101651546872,35642623.94999999,27,27,3208540.67,84,9.001976606719499,311.1111111111112,31,1149762.0629032254,33,6.720977596741344
